Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Flow Bytes/s,Flow Packets/s,Avg Fwd Segment Size,Label
152827.1093166479,43.50704095586392,1781.3864952906645,7221.406214061663,90.52200068888112,1140.3830226454556,BENIGN
74132.56378532432,23.240947221738686,978.4410974990242,6302.84279147242,49.80653563161872,729.1386785145546,BENIGN
194286.11475700614,13.144138584616547,146.73710946099655,1489.5829661790049,142.33879506586132,589.7822499194174,BENIGN
179158.61865782854,12.596455786881476,1278.4641307043066,4501.744162563202,170.41559523103857,375.63247172923053,BENIGN
156784.78192938358,37.55469973192887,1443.4327182669042,824.1343169432135,175.0404528312588,360.06625166642164,BENIGN
42954.54803113368,41.011869407771606,707.7548898844645,5226.847791246347,68.52510700157563,1142.1467672228102,BENIGN
96010.59572677166,6.1586259128521235,1734.4754820414623,7643.24193122061,106.63922846327507,231.23090116890313,BENIGN
13541.734328509612,4.261383990803729,1714.684825278486,4106.729193757889,50.432874369264646,183.81458415976098,BENIGN
35086.45095317182,30.127249524066137,2117.926456086699,3469.4502180134596,49.71450380847894,313.85956563186744,BENIGN
138194.54588227865,8.162488965442215,1957.9275073155818,296.38358383112376,33.0895585075329,312.49897649364755,BENIGN
150228.62040202433,41.408545332360724,1971.2018473022533,7678.5984334104705,188.06378315069543,1245.2749768419355,BENIGN
193664.39782467094,16.206399022279648,975.9938893991676,832.9914461999687,177.7097768925104,633.8495378028658,BENIGN
68535.94483693963,8.04972471558599,2370.7993770784233,338.221955505727,155.69438395221076,1486.1593785990947,BENIGN
77239.64267679943,46.12755315188506,1665.467375455051,1976.0722259244583,104.01464273625807,257.58421121848187,BENIGN
96563.38319878254,9.11105441402863,1316.9978577324748,533.5881670078755,98.6309751868625,1001.0973489988464,BENIGN
41946.915021435714,14.951284034558842,1892.996943585529,3646.3915608699813,106.4193875703171,706.1704903698009,BENIGN
30334.69354041697,8.527056364410873,1107.5457099727525,4133.541532044328,107.77703470184076,625.8021744437865,BENIGN
97762.46061405708,6.659013119602394,1557.7081640360043,2507.4338927383856,87.47805385484038,1320.1212466378786,BENIGN
49247.3230649224,2.0362528004855616,2220.648837907372,417.1742557733396,27.219211745521424,1464.8577299928954,BENIGN
135613.72896308952,3.7143750490487455,2663.752544702175,901.6869423113213,26.00710672083866,1316.9169006348175,BENIGN
90244.6241801045,9.557432075856783,2766.329303993767,3082.1899801395252,190.49769345329096,336.9129778105916,BENIGN
167372.2482312783,3.615714698731594,1530.7534585419737,493.6223221040237,96.92412115768376,377.949006540865,BENIGN
141551.69489043858,29.96604698943759,1580.0143396320846,5588.535907623208,190.6878994561326,1004.7463858968912,BENIGN
65911.495069498,34.355011813175814,2407.616415860956,1664.0941267832477,33.55179866431189,476.28035755899606,BENIGN
167290.6612720642,20.287892384769386,970.7740475628357,2423.5518345812716,111.32889385594677,1118.004188324035,BENIGN
161929.04971187637,16.58156375065042,2518.651792541403,3159.064959652999,42.33573341695631,875.6457371658882,BENIGN
80558.28391088401,25.721785614089274,1502.6592736915734,3338.710968222492,51.383736619193705,853.3086266261802,BENIGN
